version,name,bytes,drift_class
20260819142447,create_anchor_tiles,1292,A (absent from repo)
20260820053853,create_geniza_core_schema,4367,A (absent from repo)
20260820123304,wim_exchange_foundation,10515,A (absent from repo)
20260820123334,wim_exchange_seed_live_taxonomy,7544,A (absent from repo)
20260820123348,wim_exchange_live_taxonomy_corrections,3936,A (absent from repo)
20260820123413,wim_exchange_taxonomy_verification_gate,494,A (absent from repo)
20260820131352,wim_e02_verified_cluster_registry,8493,A (absent from repo)
20260820131839,wim_e02_verified_subclusters_traded_1_18,4380,A (absent from repo)
20260820131855,wim_e02_verified_subclusters_traded_19_51,4006,A (absent from repo)
20260820131912,wim_e02_verified_subclusters_local,4728,A (absent from repo)
20260820132147,wim_e03_organization_market_graph,4538,A (absent from repo)
20260820132615,wim_e04_supplier_registry_controls,3323,A (absent from repo)
20260820133014,wim_e05_opportunity_procurement_exchange,6384,A (absent from repo)
20260820133428,wim_e06_witc_trade_supply_chain,7819,A (absent from repo)
20260820160429,wim_e07_settlement_source_coin_integration,5194,A (absent from repo)
20260820171351,wim_e08_wealth_ecology_measurement_intelligence,7807,A (absent from repo)
20260820171949,wim_program_close_security_hardening,5054,A (absent from repo)
20260820172311,shared_public_schema_security_remediation,2361,A (absent from repo)
20260820174404,cruds_foundation_e02,4622,A (absent from repo)
20260820174631,cruds_works_provenance_witness_e03_e04,2883,A (absent from repo)
20260820175013,cruds_opportunities_commercialization_intelligence_e05_e08,8732,A (absent from repo)
20260821034608,capitalization_migration_transport_stage,909,A (absent from repo)
20260821035204,capitalization_payload_transport_stage,503,A (absent from repo)
20260821235041,create_system_heartbeat_registry,1404,A (absent from repo)
20260821235054,restrict_system_heartbeat_registry,145,A (absent from repo)
20260821235105,add_heartbeat_service_role_policy,140,A (absent from repo)
20260822002906,postgis_estimatedextent_rpc_hardening,571,A (absent from repo)
20260822011222,dhn_e01_foreign_key_indexes,795,A (absent from repo)
20260822012050,dhn_e06_rencat_telemetry_ingestion,3651,A (absent from repo)
20260822013557,postgis_estimatedextent_execute_hardening_e11_r1,312,A (absent from repo)
20260822020632,dhn_e13_production_operations_controlled_rollout,5673,A (absent from repo)
20260822021448,dhn_e13_slo_incident_measurement_pipeline,4323,A (absent from repo)
20260822024010,dhn_e13_synthetic_burnin_runner,2755,A (absent from repo)
20260822024310,dhn_e13_r1_controlled_enrollment_authorization,3021,A (absent from repo)
20260822024443,dhn_e13_r2_enrollment_decision_engine,2919,A (absent from repo)
